Account_Name,Salesforce_ID,Industry,Geography,CSM,Account_Executive,Contract_Start,Contract_End,ARR,New_ARR,ARR_Delta,Renewal_Outcome,Churned,Churn_Reason,Health_Score_Overall,Health_Label,Health_Support,Health_NPS,Health_Usage,Health_Adoption,Health_Engagement,Health_Risk_Score,Risk_Identified,Account_Summary
Ascend Ventures,001EGET1GHR09SK,Education,Midwest US,Lauren Chu,Brooke Sanders,2023-02-22,2024-02-22,37000,49000,12000,Renewal Up,No,,66,Yellow,56,78,73,60,64,57,Low executive engagement,"CSM: Lauren Chu navigated a champion change successfully; new stakeholder is engaged. AE: Brooke Sanders closed renewal with a 32% ARR increase. Prediction: Likely to renew. ARR movement: up ($12,000). Health: Yellow. Outcome: Renewal Up."
Apex Platforms,001KRM8J5ECRUYF,Healthcare,France & Benelux,James Thornton,Brooke Sanders,2023-10-29,2024-10-28,355000,355000,0,Renewal Flat,No,,80,Green,82,82,88,82,70,87,Integration stalled,CSM: James Thornton proactively identified and resolved an integration risk ahead of renewal. AE: Brooke Sanders aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Crestview Global,001UC8D1WJCITFO,Retail,West Coast US,Lauren Chu,Ryan Callahan,2023-08-06,2024-08-05,440000,601000,161000,Renewal Up,No,,94,Green,91,100,100,96,84,100,Open critical support tickets,"CSM: Lauren Chu established multi-threaded relationships across IT and business units. AE: Ryan Callahan secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($161,000). Health: Green. Outcome: Renewal Up."
Zenith Services,001IFJFC2V37PQK,Media & Entertainment,DACH,Natalie Bergmann,Ethan Graves,2023-12-12,2024-12-11,109000,109000,0,Renewal Flat,No,,58,Yellow,61,43,70,55,65,52,Low NPS score,CSM: Natalie Bergmann reports strong adoption and positive QBR outcomes. AE: Ethan Graves secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: flat ($0). Health: Yellow. Outcome: Renewal Flat.
Nova Platforms,00189YJB1QX6GVW,Logistics,Canada,Connor Walsh,Alicia Torres,2023-01-19,2024-01-19,86000,86000,0,Renewal Flat,No,,70,Yellow,78,60,84,62,67,70,Champion departure risk,CSM: Connor Walsh proactively identified and resolved an integration risk ahead of renewal. AE: Alicia Torres positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: flat ($0). Health: Yellow. Outcome: Renewal Flat.
Onyx Systems,001LL8OS9XTOGN1,Real Estate,Midwest US,Derek Okafor,Jason Whitmore,2023-10-10,2024-10-09,226000,0,-226000,Churn,Yes,Executive sponsor left; new leadership brought in preferred vendor,85,Green,83,97,91,84,72,69,Low NPS score,"CSM: Derek Okafor maintained regular cadence but could not overcome the executive sponsor departure. AE: Jason Whitmore offered a significant discount; budget freeze made renewal untenable. Prediction: Account did not renew. Final ARR lost: $226,000. Reason: Executive sponsor left; new leadership brought in preferred vendor"
Apex Services,001OI4E8XF7KZOR,Logistics,Southwest US,Natalie Bergmann,David Kim,2023-05-17,2024-05-16,133000,185000,52000,Renewal Up,No,,93,Green,91,98,100,79,100,77,Missed QBR Q3,"CSM: Natalie Bergmann delivered ROI report in Q3; executive team cited measurable value. AE: David Kim positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($52,000). Health: Green. Outcome: Renewal Up."
Apex Global,00104UX5QRL1N75,Retail,Middle East,Tyler Henson,Nathan Webb,2023-01-19,2024-01-19,561000,561000,0,Renewal Flat,No,,77,Green,64,73,86,78,85,92,Budget freeze flagged,CSM: Tyler Henson navigated a champion change successfully; new stakeholder is engaged. AE: Nathan Webb closed renewal with a 0% ARR increase. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Horizon Consulting,0018LD4D6AF58C2,Life Sciences,Canada,Aisha Patel,Megan Foster,2023-11-20,2024-11-19,154000,164000,10000,Renewal Up,No,,95,Green,100,97,92,100,90,100,Champion departure risk,"CSM: Aisha Patel reports strong adoption and positive QBR outcomes. AE: Megan Foster secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($10,000). Health: Green. Outcome: Renewal Up."
Nimbus Global,00190PDW5PY6B2K,Logistics,Nordics,Derek Okafor,Ethan Graves,2023-04-29,2024-04-28,93000,107000,14000,Renewal Up,No,,87,Green,100,85,85,85,82,99,Budget freeze flagged,"CSM: Derek Okafor established multi-threaded relationships across IT and business units. AE: Ethan Graves secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($14,000). Health: Green. Outcome: Renewal Up."
Onyx Software,001JJA26YFPMVXP,Logistics,Middle East,Lauren Chu,Brooke Sanders,2023-01-05,2024-01-05,183000,214000,31000,Renewal Up,No,,77,Green,70,74,79,85,78,85,Missed QBR Q3,"CSM: Lauren Chu proactively identified and resolved an integration risk ahead of renewal. AE: Brooke Sanders aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: up ($31,000). Health: Green. Outcome: Renewal Up."
Nova Data,0012960361I2HGJ,Manufacturing,LATAM,James Thornton,Ryan Callahan,2023-04-13,2024-04-12,270000,270000,0,Renewal Flat,No,,76,Green,66,83,76,88,69,67,Missed QBR Q3,CSM: James Thornton proactively identified and resolved an integration risk ahead of renewal. AE: Ryan Callahan secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Horizon Services,0015NSJF678K52Q,Life Sciences,LATAM,Derek Okafor,Nathan Webb,2023-07-15,2024-07-14,73000,51000,-22000,Renewal Down,No,,82,Green,83,74,97,84,72,80,Integration stalled,"CSM: Derek Okafor delivered ROI report in Q3; executive team cited measurable value. AE: Nathan Webb positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: down ($22,000). Health: Green. Outcome: Renewal Down."
Meridia Works,001DIA5U6HC36KO,Healthcare,Southeast US,Lauren Chu,Chloe Dupont,2023-10-28,2024-10-27,27000,36000,9000,Renewal Up,No,,67,Yellow,80,69,56,64,66,63,None identified,"CSM: Lauren Chu established multi-threaded relationships across IT and business units. AE: Chloe Dupont closed renewal with a 33% ARR increase. Prediction: Likely to renew. ARR movement: up ($9,000). Health: Yellow. Outcome: Renewal Up."
Beacon Capital,001FODRO8BNP84D,Logistics,West Coast US,Marcus Rivera,Ryan Callahan,2023-01-26,2024-01-26,478000,0,-478000,Churn,Yes,Lost internal champion — project deprioritized,38,Red,45,18,45,42,41,71,Single-threaded relationship,"CSM: Marcus Rivera maintained regular cadence but could not overcome the executive sponsor departure. AE: Ryan Callahan attempted a commercial restructure but the account chose not to renew. Prediction: Account did not renew. Final ARR lost: $478,000. Reason: Lost internal champion — project deprioritized"
Ember Ventures,00192H3TV3I12VJ,Telecommunications,Midwest US,Natalie Bergmann,Jason Whitmore,2023-03-06,2024-03-05,533000,563000,30000,Renewal Up,No,,54,Yellow,65,71,44,48,44,55,Open critical support tickets,"CSM: Natalie Bergmann delivered ROI report in Q3; executive team cited measurable value. AE: Jason Whitmore is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: up ($30,000). Health: Yellow. Outcome: Renewal Up."
Beacon Networks,001S0R2SDS8B25S,Media & Entertainment,Middle East,Sarah Mitchell,Ryan Callahan,2023-02-03,2024-02-03,198000,123000,-75000,Renewal Down,No,,76,Green,75,83,65,77,84,91,Champion departure risk,"CSM: Sarah Mitchell established multi-threaded relationships across IT and business units. AE: Ryan Callahan secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: down ($75,000). Health: Green. Outcome: Renewal Down."
Horizon Enterprises,001WVZNVKSP2EX5,Media & Entertainment,Southern Europe,Derek Okafor,Nathan Webb,2023-07-11,2024-07-10,185000,185000,0,Renewal Flat,No,,66,Yellow,64,61,77,65,63,64,Single-threaded relationship,CSM: Derek Okafor delivered ROI report in Q3; executive team cited measurable value. AE: Nathan Webb aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: flat ($0). Health: Yellow. Outcome: Renewal Flat.
Meridian Data,0017C3DD03UVULE,Manufacturing,Nordics,Aisha Patel,Ryan Callahan,2023-07-08,2024-07-07,160000,222000,62000,Renewal Up,No,,66,Yellow,67,59,74,72,62,60,None identified,"CSM: Aisha Patel delivered ROI report in Q3; executive team cited measurable value. AE: Ryan Callahan positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($62,000). Health: Yellow. Outcome: Renewal Up."
Zenith Health,001KIPU1WYUVXYB,Education,Northeast US,Lauren Chu,Alicia Torres,2023-04-21,2024-04-20,172000,247000,75000,Renewal Up,No,,64,Yellow,75,52,66,69,60,50,Declining usage trend,"CSM: Lauren Chu reports strong adoption and positive QBR outcomes. AE: Alicia Torres positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($75,000). Health: Yellow. Outcome: Renewal Up."
Redwood Networks,001QFLL7V5F1BCP,Manufacturing,Southwest US,Connor Walsh,Nathan Webb,2023-04-23,2024-04-22,152000,192000,40000,Renewal Up,No,,76,Green,72,80,82,72,78,90,None identified,"CSM: Connor Walsh delivered ROI report in Q3; executive team cited measurable value. AE: Nathan Webb is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: up ($40,000). Health: Green. Outcome: Renewal Up."
Ironwood Cloud,001BH811KERPETI,Logistics,Middle East,Marcus Rivera,Megan Foster,2023-02-28,2024-02-28,160000,205000,45000,Renewal Up,No,,50,Yellow,52,39,53,68,41,66,Competitor evaluation in progress,"CSM: Marcus Rivera proactively identified and resolved an integration risk ahead of renewal. AE: Megan Foster aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: up ($45,000). Health: Yellow. Outcome: Renewal Up."
Ironwood Solutions,0018G8QYNPDPOC5,Healthcare,France & Benelux,Marcus Rivera,David Kim,2023-02-22,2024-02-22,313000,313000,0,Renewal Flat,No,,89,Green,80,93,93,83,100,100,Competitor evaluation in progress,CSM: Marcus Rivera navigated a champion change successfully; new stakeholder is engaged. AE: David Kim secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Meridian Enterprises,001HV1XG1R11Q7U,Media & Entertainment,Southeast US,Marcus Rivera,David Kim,2023-08-25,2024-08-24,365000,0,-365000,Churn,Yes,Poor onboarding led to low adoption and no demonstrated ROI,48,Red,47,53,42,58,41,49,Low executive engagement,"CSM: Marcus Rivera flagged risk early but escalation support was delayed. AE: David Kim offered a significant discount; budget freeze made renewal untenable. Prediction: Account did not renew. Final ARR lost: $365,000. Reason: Poor onboarding led to low adoption and no demonstrated ROI"
Sable Technologies,001C3C54WSQT26Q,Media & Entertainment,France & Benelux,Marcus Rivera,Samantha Lowe,2023-05-07,2024-05-06,296000,321000,25000,Renewal Up,No,,60,Yellow,76,47,60,49,71,74,Competitor evaluation in progress,"CSM: Marcus Rivera navigated a champion change successfully; new stakeholder is engaged. AE: Samantha Lowe is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: up ($25,000). Health: Yellow. Outcome: Renewal Up."
Lumen Analytics,0019SVN7N1YBWML,Government,Middle East,Lauren Chu,Jason Whitmore,2023-11-01,2024-10-31,124000,0,-124000,Churn,Yes,Product did not meet evolving use-case requirements,23,Red,22,14,30,33,16,59,Competitor evaluation in progress,"CSM: Lauren Chu submitted a save plan in Q2; procurement rejected renewal terms. AE: Jason Whitmore engaged VP-level stakeholders late in the cycle with insufficient time to turn it around. Prediction: Account did not renew. Final ARR lost: $124,000. Reason: Product did not meet evolving use-case requirements"
Lumen Systems,001LN23Y30YSXPN,Telecommunications,DACH,Derek Okafor,Alicia Torres,2023-12-05,2024-12-04,98000,124000,26000,Renewal Up,No,,54,Yellow,56,53,53,51,58,76,Single-threaded relationship,"CSM: Derek Okafor established multi-threaded relationships across IT and business units. AE: Alicia Torres is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: up ($26,000). Health: Yellow. Outcome: Renewal Up."
Ember Health,001WVFGYW6ZBNZ8,Retail,West Coast US,Derek Okafor,Ethan Graves,2023-09-15,2024-09-14,429000,530000,101000,Renewal Up,No,,85,Green,95,93,73,78,88,97,Low NPS score,"CSM: Derek Okafor delivered ROI report in Q3; executive team cited measurable value. AE: Ethan Graves closed renewal with a 23% ARR increase. Prediction: Likely to renew. ARR movement: up ($101,000). Health: Green. Outcome: Renewal Up."
Indigo Networks,001832EJX5TD44K,Technology,Middle East,Connor Walsh,Ethan Graves,2023-07-11,2024-07-10,339000,412000,73000,Renewal Up,No,,82,Green,66,94,93,71,90,78,Competitor evaluation in progress,"CSM: Connor Walsh proactively identified and resolved an integration risk ahead of renewal. AE: Ethan Graves positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($73,000). Health: Green. Outcome: Renewal Up."
Elevate Digital,0019NB74X2EK3ZE,Insurance,Southeast US,Tyler Henson,Ryan Callahan,2023-06-04,2024-06-03,429000,470000,41000,Renewal Up,No,,50,Yellow,46,44,64,42,55,68,Low NPS score,"CSM: Tyler Henson delivered ROI report in Q3; executive team cited measurable value. AE: Ryan Callahan secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($41,000). Health: Yellow. Outcome: Renewal Up."
Zenith Technologies,001IXWC4RTWUZKA,Energy,Australia & NZ,Aisha Patel,David Kim,2023-08-29,2024-08-28,148000,185000,37000,Renewal Up,No,,57,Yellow,58,53,44,72,58,59,Integration stalled,"CSM: Aisha Patel reports strong adoption and positive QBR outcomes. AE: David Kim closed renewal with a 25% ARR increase. Prediction: Likely to renew. ARR movement: up ($37,000). Health: Yellow. Outcome: Renewal Up."
Nexus Software,001NN0MCIXDU1EM,Government,DACH,Priya Nair,Chloe Dupont,2023-06-11,2024-06-10,157000,102000,-55000,Renewal Down,No,,88,Green,82,100,81,79,99,100,Champion departure risk,"CSM: Priya Nair navigated a champion change successfully; new stakeholder is engaged. AE: Chloe Dupont is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: down ($55,000). Health: Green. Outcome: Renewal Down."
Trident Consulting,001O3RBXK5BXJ2P,Technology,DACH,Aisha Patel,Alicia Torres,2023-10-07,2024-10-06,131000,142000,11000,Renewal Up,No,,97,Green,96,92,100,100,97,89,Single-threaded relationship,"CSM: Aisha Patel established multi-threaded relationships across IT and business units. AE: Alicia Torres secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($11,000). Health: Green. Outcome: Renewal Up."
Bedrock Labs,001DLKQZFPQ06WP,Education,France & Benelux,James Thornton,Nathan Webb,2023-11-27,2024-11-26,229000,244000,15000,Renewal Up,No,,89,Green,85,100,80,84,100,99,None identified,"CSM: James Thornton reports strong adoption and positive QBR outcomes. AE: Nathan Webb secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($15,000). Health: Green. Outcome: Renewal Up."
Cascade Works,001NUVY8N1UTOXI,Real Estate,UK & Ireland,Priya Nair,Chloe Dupont,2023-03-04,2024-03-03,72000,84000,12000,Renewal Up,No,,85,Green,75,80,96,80,94,86,Open critical support tickets,"CSM: Priya Nair proactively identified and resolved an integration risk ahead of renewal. AE: Chloe Dupont secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($12,000). Health: Green. Outcome: Renewal Up."
Horizon Systems,001Q6QDY4LMCT64,Retail,Southeast US,Marcus Rivera,Ethan Graves,2023-11-10,2024-11-09,289000,346000,57000,Renewal Up,No,,64,Yellow,74,53,56,74,64,49,Competitor evaluation in progress,"CSM: Marcus Rivera established multi-threaded relationships across IT and business units. AE: Ethan Graves secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($57,000). Health: Yellow. Outcome: Renewal Up."
Atlas Systems,001L9ZS13C9XQYM,Telecommunications,Midwest US,Tyler Henson,David Kim,2023-06-15,2024-06-14,482000,482000,0,Renewal Flat,No,,83,Green,80,93,91,65,90,67,Integration stalled,CSM: Tyler Henson navigated a champion change successfully; new stakeholder is engaged. AE: David Kim secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Lumen Ventures,001M764JWTEKTSG,Government,Southern Europe,Priya Nair,Samantha Lowe,2023-11-30,2024-11-29,539000,451000,-88000,Renewal Down,No,,90,Green,85,100,100,93,76,100,Low executive engagement,"CSM: Priya Nair established multi-threaded relationships across IT and business units. AE: Samantha Lowe aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: down ($88,000). Health: Green. Outcome: Renewal Down."
Synergy Health,001UWB6TXKI3OQY,Retail,Canada,Connor Walsh,Chloe Dupont,2023-10-15,2024-10-14,51000,56000,5000,Renewal Up,No,,89,Green,79,85,100,97,85,98,Competitor evaluation in progress,"CSM: Connor Walsh delivered ROI report in Q3; executive team cited measurable value. AE: Chloe Dupont positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($5,000). Health: Green. Outcome: Renewal Up."
Orion Labs,001IEQFB85P8637,Real Estate,DACH,Priya Nair,Chloe Dupont,2023-06-30,2024-06-29,297000,427000,130000,Renewal Up,No,,78,Green,96,77,83,68,70,98,Budget freeze flagged,"CSM: Priya Nair navigated a champion change successfully; new stakeholder is engaged. AE: Chloe Dupont positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($130,000). Health: Green. Outcome: Renewal Up."
Pinnacle Technologies,001KV4YKADEJNOB,Real Estate,West Coast US,Derek Okafor,Alicia Torres,2023-07-11,2024-07-10,60000,66000,6000,Renewal Up,No,,57,Yellow,53,57,55,65,58,49,Low NPS score,"CSM: Derek Okafor reports strong adoption and positive QBR outcomes. AE: Alicia Torres closed renewal with a 10% ARR increase. Prediction: Likely to renew. ARR movement: up ($6,000). Health: Yellow. Outcome: Renewal Up."
Ember Services,00171HSSBELRQVS,Logistics,Nordics,Marcus Rivera,David Kim,2023-06-19,2024-06-18,153000,179000,26000,Renewal Up,No,,73,Yellow,74,66,72,82,72,73,Champion departure risk,"CSM: Marcus Rivera reports strong adoption and positive QBR outcomes. AE: David Kim aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: up ($26,000). Health: Yellow. Outcome: Renewal Up."
Nimbus Group,0019V20YAR821UZ,Telecommunications,Middle East,Natalie Bergmann,Samantha Lowe,2023-08-03,2024-08-02,96000,96000,0,Renewal Flat,No,,72,Yellow,65,87,82,68,62,79,Single-threaded relationship,CSM: Natalie Bergmann proactively identified and resolved an integration risk ahead of renewal. AE: Samantha Lowe aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: flat ($0). Health: Yellow. Outcome: Renewal Flat.
Aether Innovations,001O1750CEHLXSL,Education,Australia & NZ,Marcus Rivera,Ethan Graves,2023-06-02,2024-06-01,59000,69000,10000,Renewal Up,No,,97,Green,100,100,100,88,99,95,Open critical support tickets,"CSM: Marcus Rivera delivered ROI report in Q3; executive team cited measurable value. AE: Ethan Graves secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($10,000). Health: Green. Outcome: Renewal Up."
Prism Global,001ZYRRU7ZKUT6O,Financial Services,West Coast US,Priya Nair,Jason Whitmore,2023-10-15,2024-10-14,173000,0,-173000,Churn,Yes,Executive sponsor left; new leadership brought in preferred vendor,78,Green,73,91,76,82,70,85,Champion departure risk,"CSM: Priya Nair maintained regular cadence but could not overcome the executive sponsor departure. AE: Jason Whitmore offered a significant discount; budget freeze made renewal untenable. Prediction: Account did not renew. Final ARR lost: $173,000. Reason: Executive sponsor left; new leadership brought in preferred vendor"
Aether Enterprises,001EWVIYTWBOZD1,Energy,Southern Europe,Priya Nair,Nathan Webb,2023-11-30,2024-11-29,60000,60000,0,Renewal Flat,No,,86,Green,82,87,73,91,97,76,Competitor evaluation in progress,CSM: Priya Nair reports strong adoption and positive QBR outcomes. AE: Nathan Webb is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: flat ($0). Health: Green. Outcome: Renewal Flat.
Nova Ventures,001T076G5G79OR7,Financial Services,West Coast US,Lauren Chu,Ryan Callahan,2023-08-28,2024-08-27,737000,919000,182000,Renewal Up,No,,86,Green,92,76,100,83,82,87,None identified,"CSM: Lauren Chu navigated a champion change successfully; new stakeholder is engaged. AE: Ryan Callahan positioned the platform as a strategic investment at the QBR. Prediction: Likely to renew. ARR movement: up ($182,000). Health: Green. Outcome: Renewal Up."
Keystone Innovations,0013L0XZAMKYGVW,Healthcare,UK & Ireland,Natalie Bergmann,Alicia Torres,2023-06-18,2024-06-17,129000,90000,-39000,Renewal Down,No,,86,Green,82,84,83,94,89,100,Open critical support tickets,"CSM: Natalie Bergmann proactively identified and resolved an integration risk ahead of renewal. AE: Alicia Torres aligned on a growth roadmap for next fiscal year with the CFO. Prediction: Likely to renew. ARR movement: down ($39,000). Health: Green. Outcome: Renewal Down."
Trident Platforms,0010AXYCELOS6ZL,Retail,Southwest US,Marcus Rivera,Samantha Lowe,2023-05-07,2024-05-06,43000,61000,18000,Renewal Up,No,,60,Yellow,60,49,59,68,64,56,Budget freeze flagged,"CSM: Marcus Rivera established multi-threaded relationships across IT and business units. AE: Samantha Lowe secured renewal early after competitive review; account is stable. Prediction: Likely to renew. ARR movement: up ($18,000). Health: Yellow. Outcome: Renewal Up."
Nimbus Health,001V2STN7E36HTF,Government,Nordics,James Thornton,Brooke Sanders,2023-10-14,2024-10-13,426000,300000,-126000,Renewal Down,No,,85,Green,70,96,84,82,93,69,Champion departure risk,"CSM: James Thornton established multi-threaded relationships across IT and business units. AE: Brooke Sanders is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: down ($126,000). Health: Green. Outcome: Renewal Down."
Onyx Data,00130O30UBMC97C,Technology,LATAM,Lauren Chu,Nathan Webb,2023-02-11,2024-02-11,508000,611000,103000,Renewal Up,No,,68,Yellow,69,65,68,65,75,58,Competitor evaluation in progress,"CSM: Lauren Chu proactively identified and resolved an integration risk ahead of renewal. AE: Nathan Webb closed renewal with a 20% ARR increase. Prediction: Likely to renew. ARR movement: up ($103,000). Health: Yellow. Outcome: Renewal Up."
Nimbus Data,0015E4E9OE9419Q,Life Sciences,Southwest US,Natalie Bergmann,Nathan Webb,2023-05-04,2024-05-03,417000,319000,-98000,Renewal Down,No,,60,Yellow,66,63,56,60,58,81,Single-threaded relationship,"CSM: Natalie Bergmann established multi-threaded relationships across IT and business units. AE: Nathan Webb is pursuing expansion into two additional business units. Prediction: Likely to renew. ARR movement: down ($98,000). Health: Yellow. Outcome: Renewal Down."
